,Demanded Qty,Net OH Qty,BO,BO ETA
AOC-MTG-I2TM-O,8,76,-,-
AOC-SED-LSI00268,8,2,-,-
EWCSC,1,0,-,-
HDD-2T2000-ST2000NX0303,48,32,-,-
MC0037,1,0,-,-
MEM-DR432L-CL01-ER29,64,4189,14200,None; None
OSDMR3,1,0,-,-
OSNBD3,1,0,-,-
P4X-CLX6230-SRF8W,16,8875,4673,12/31/2020(0/537); 11/16/2020(0/200); 12/18/2020(0/1700); 12/21/2020(0/1636)
SFT-OOB-LIC,8,0,-,-
SYS-F619P2-RC1,1,27,-,-
