,Demanded Qty,Net OH Qty,BO,BO ETA
EWCSC,2,0,-,-
HDS-I2T0-SSDSC2KB960G8,2,928,-,-
MC0037,2,0,-,-
MEM-DR480L-HL05-ER26,4,921,-,-
SYS-5019D-FN8TP,2,0,-,-
