,Demanded Qty,Net OH Qty,BO,BO ETA
AOC-653106A-HDAT,5,24,12,None; None; None; None
AOC-LQD45007T-GI028,5,5,-,-
AS -4124GS-TNR,5,10,-,-
CBL-PWEX-1017,40,3098,2000,11/02/2020(0/2000)
CBL-SAST-1267-85,10,1399,-,-
EWCSC,5,0,-,-
HDS-I2T0-SSDSC2KB480G8,20,1546,700,11/16/2020(0/700)
MC0037,5,0,-,-
MCP-230-41806-0N,5,141,-,-
MEM-DR416L-HL02-ER32,80,3918,1533,10/31/2020(967/2500)
PSE-ROM7302-0043,10,535,-,-
