,Demanded Qty,Net OH Qty,BO,BO ETA
AOC-SAS3-9361-16I,1,19,2,-
AOC-STGF-I2S-O,1,23,-,-
AS -2023US-TR4,1,53,-,-
BKT-BBU-BRACKET-05,1,11750,-,-
BTR-TFM4G-LSI00418,1,1,-,-
CBL-SAST-0593,3,13533,-,-
CBL-SAST-0948,1,2817,-,-
EXS16,1,0,-,-
HDD-T16T-ST16000NM001G,12,2682,3200,None; None
HDS-S2T1-MZ7LH240HAHQ05,2,2036,-,-
MC0037,1,0,-,-
MCP-240-82922-0N-OEM,1,578,200,11/26/2020(0/200)
MEM-DR480L-HL05-ER26,16,2326,-,-
PSE-NPL7351-BEVGPAF,2,35,-,-
SFT-DCMS-SINGLE,1,0,-,-
