,Demanded Qty,Net OH Qty,BO,BO ETA
AOC-STGS-I2T-O,1,30,-,-
EWCSC,1,0,-,-
HDS-I2T0-SSDSC2KB019T8,1,1211,-,-
MC0037,1,0,-,-
MEM-DR416L-CL07-ER26,8,3507,-,-
P4X-CLX5218R-SRGZ7,2,1369,930,12/31/2020(0/480); 12/31/2020(0/450)
SFT-DCMS-SINGLE,1,0,-,-
SYS-6029P-TR,1,44,-,-
