,Demanded Qty,Net OH Qty,BO,BO ETA
AOC-MTG-I4TM-O,4,9,-,-
AOC-SGP-I2,4,70,-,-
EWCSC,2,0,-,-
HDD-A12T-ST12000NM002G,16,269,2200,None; None; None; None
HDS-IMN0-SSDPEKKA512G8,8,0,40,10/23/2020(0/40)
HDS-IUN2-SSDPE2KX020T8,8,1673,-,-
MC0037,2,0,-,-
MCP-220-00140-0B,8,1717,-,-
MEM-DR432L-CL01-ER29,48,8304,10000,11/27/2020(0/10000)
P4X-CLX5218R-SRGZ7,8,1090,3330,12/31/2020(0/480); 12/31/2020(0/450); None; None; None; None; None; None
SFT-DCMS-SINGLE,4,0,-,-
SMSAD5,2,0,-,-
SYS-6029BT-DNC0R,2,0,-,-
