,Demanded Qty,Net OH Qty,BO,BO ETA
AOC-S3108L-H8IR,2,53,-,-
AOM-SFP28-25GBE-SR-1-MLN,4,197,620,None; None; None; None
BTR-CV3108-U1,2,0,-,-
EWCSC,2,0,-,-
HDS-S2T1-MZ7LH3T8HMLT05,24,725,1200,-
HDS-S2T1-MZ7LH960HAJR05,4,1133,500,-
MC0037,2,0,-,-
MEM-DR480L-CL01-ER29,24,1352,2000,11/27/2020(0/2000)
OSNBD5,2,0,-,-
P4X-CLX5218-SRF8T,4,382,945,12/31/2020(55/200); 12/31/2020(0/200); 12/31/2020(0/200)
SFT-DCMS-SINGLE,2,0,-,-
SFT-DCMS-SVC-KEY,2,0,-,-
SMMSS5,2,0,-,-
SYS-2029U-E1CR25M,2,1,-,-
