,Demanded Qty,Net OH Qty,BO,BO ETA
AS -1123US-TN10RT,4,41,-,-
EWCSC,4,0,-,-
HDS-IUN2-SSDPE2KX020T8,36,1619,-,-
MC0037,4,0,-,-
MEM-DR464L-CL02-ER32,64,221,7000,None; 11/27/2020(0/2000)
OSNBD3,4,0,-,-
PSE-ROM7452-0057E,8,0,-,-
SFT-DCMS-SINGLE,4,0,-,-
