,Demanded Qty,Net OH Qty,BO,BO ETA
AOC-MHIBE-M1CGM-O,4,6,-,-
AOC-S3108L-H8IR-16DD,4,46,-,-
CBL-PWCD-0578-1,8,23012,-,-
CBL-SAST-0593,4,14678,-,-
EWCSC,4,0,-,-
GPU-NVTV100-32,12,141,174,None; None
HDS-I2T0-SSDSC2KB038T8,8,229,1000,10/30/2020(0/1000)
HDS-I2T0-SSDSC2KB960G8,8,716,-,-
MC0037,4,0,-,-
MEM-DR464L-HL02-ER29,64,3417,-,-
OS4HR3,4,0,-,-
OSDMR3,4,0,-,-
P4X-CLX5218-SRF8T,8,239,1600,12/31/2020(0/300); 12/31/2020(0/300); 12/31/2020(0/200); 12/31/2020(0/200); 12/31/2020(0/200)
SFT-DCMS-SINGLE,4,0,-,-
SYS-1029GP-TR,4,9,-,-
