,Demanded Qty,Net OH Qty,BO,BO ETA
AOC-MTG-I2TM-O,7,65,-,-
EWCSC,7,0,-,-
GPU-NVTT4,42,981,-,-
HDS-I2T0-SSDSC2KG019T8,14,2,220,11/11/2020(0/120); 11/12/2020(0/100)
MC0037,7,0,-,-
MCP-120-21807-0N,7,32,-,-
MEM-DR464L-CL02-LR26,56,0,-,-
OSDMR3,7,0,-,-
OSNBD3,7,0,-,-
P4X-CLX6242-SRF8Y,14,55,40,12/31/2020(0/40)
SYS-2029GP-TR,7,0,-,-
