,Demanded Qty,Net OH Qty,BO,BO ETA
EWCSC,3,0,-,-
HDS-I2T0-SSDSC2KB960G8,3,928,-,-
MC0037,3,0,-,-
MEM-DR480L-HL05-ER26,12,921,-,-
SYS-5019D-FN8TP,3,0,-,-
