,Demanded Qty,Net OH Qty,BO,BO ETA
EWCSC,2,0,-,-
GPU-NVTA100-40,4,752,2280,None; None; None; None; None; None; None
HDS-I2T0-SSDSC2KB019T8,2,841,2000,11/16/2020(0/2000)
MC0037,2,0,-,-
MCP-240-00096-0N,12,51,200,-
MEM-DR416L-CL07-ER26,24,3010,2000,11/27/2020(0/2000)
P4X-CLX5218R-SRGZ7,4,1050,3330,12/31/2020(0/480); 12/31/2020(0/450); None; None; None; None; None; None
SFT-DCMS-SINGLE,2,0,-,-
SYS-4029GP-TRT,2,55,-,-
