,Demanded Qty,Net OH Qty,BO,BO ETA
AOC-S3108L-H8IR,1,27,-,-
BTR-CV3108-U1,1,3,-,-
EWCSC,1,0,-,-
FAN-0166L4,4,2899,1600,12/25/2020(0/1000); 12/03/2020(0/600)
HDS-S2T1-MZ7LH1T9HMLT05,16,1716,-,-
MC0037,1,0,-,-
MEM-DR464L-CL01-ER29,24,5737,5600,11/27/2020(1400/2000); None
OSNBD3,1,0,-,-
P4X-CLX6248R-SRGZG,2,545,1828,12/31/2020(172/200); 12/31/2020(0/200); 12/31/2020(0/200); 12/31/2020(0/200)
SFT-DCMS-SINGLE,1,0,-,-
SYS-2029U-E1CR4,1,0,-,-
