,Demanded Qty,Net OH Qty,BO,BO ETA
AOC-S3108L-H8IR-16DD,1,44,-,-
CBL-0082L,1,13009,-,-
CBL-SAST-0699,2,9761,1000,-
CSE-825TQC-R740LPB,1,186,-,-
DVM-TEAC-DVDRW-SBT5,1,40,280,10/30/2020(0/120); 11/30/2020(0/160)
GPU-NVQP620,1,342,-,-
HDD-A8000-ST8000NM001A,6,1762,-,-
HDS-I2T0-SSDSC2KB240G8,2,4843,350,10/30/2020(3650/4000)
MBD-X11SCZ-F-O,1,33,-,-
MC0037,1,0,-,-
MC0116,1,0,-,-
MCP-220-81502-0N,1,76,1350,10/20/2020(0/200); 10/20/2020(0/200); 12/12/2020(0/500); 12/12/2020(0/450)
MEM-DR480L-HL01-EU26,2,1497,-,-
P4X-UPE2146G-SR3WT,1,0,2,None; None
SFT-MS-W10PRO64,1,495,-,-
SNK-P0074AP4,1,41,40,-
