,Demanded Qty,Net OH Qty,BO,BO ETA
AOC-MTG-I2TM-O,4,80,-,-
EWCSC,1,0,-,-
HDS-I2T0-SSDSC2KB019T8,4,1211,-,-
MC0037,1,0,-,-
MEM-DR416L-CL07-ER26,32,3507,-,-
P4X-CLX5218R-SRGZ7,8,1369,930,12/31/2020(0/480); 12/31/2020(0/450)
SFT-DCMS-SINGLE,4,0,-,-
SYS-2029TP-HTR,1,3,-,-
