,Demanded Qty,Net OH Qty,BO,BO ETA
CSE-512F-350B,50,253,-,-
HDD-2T2000-ST2000NX0253,50,1056,680,None; None
MBD-X11SSI-LN4F-O,50,6,-,-
MC0037,50,0,-,-
MCP-220-00051-0N,50,12047,-,-
MCP-310-19007-0N,50,381,2300,11/16/2020(0/800); 12/02/2020(0/600)
MEM-DR416L-CV02-EU26,100,2745,5600,11/27/2020(0/600); None
P4X-UPE31230V6-SR328,50,4,-,-
SFT-OOB-LIC,50,0,-,-
SNK-P0046P,50,2180,9300,12/07/2020(0/2100); 12/18/2020(0/2100); None; None
