,Demanded Qty,Net OH Qty,BO,BO ETA
EWCSC,3,0,-,-
HDS-I2T0-SSDSC2KB240G8,3,3513,250,11/16/2020(250/500)
MC0037,3,0,-,-
MEM-DR480L-HL01-EU26,3,2038,-,-
SFT-OOB-LIC,3,0,-,-
SYS-5019A-FTN4,3,87,-,-
