,Demanded Qty,Net OH Qty,BO,BO ETA
AOC-S25G-M2S-O,10,34,-,-
CBL-0010-LP,10,2642,2000,11/04/2020(0/1000); 11/04/2020(0/1000)
CBL-0186L,10,5685,-,-
CBL-CDAT-0661,10,6617,-,-
CSE-815TQC-605WB,10,219,-,-
FAN-0156L4,10,7532,-,-
MBD-X10DRW-I-P,10,2938,4233,10/23/2020(0/320); 10/30/2020(0/413); 10/30/2020(0/227); 10/30/2020(0/78); 11/07/2020(0/1124); 11/21/2020(0/132); 11/21/2020(0/78); 12/04/2020(0/361); 12/04/2020(0/279); 12/30/2020(0/221); 12/30/2020(0/1000)
MC0037,10,0,-,-
MCP-220-00043-0N,10,15001,2000,10/20/2020(0/2000)
MEM-DR432L-CL03-ER26,80,2890,-,-
P4X-DPE52618LV4-SR2PE,20,44,-,-
RSC-R1UW-2E16,10,13928,9282,10/23/2020(0/4000); 11/19/2020(0/4000)
SFT-OOB-LIC,10,0,-,-
SNK-P0047PSC,10,2795,1152,10/30/2020(0/576)
SNK-P0057PS,10,3984,-,-
