,Demanded Qty,Net OH Qty,BO,BO ETA
AOC-653106A-HDAT,6,28,8,None; None; None
AOC-LQD45007T-GI028,6,5,-,-
AS -4124GS-TNR,6,10,-,-
CBL-PWEX-1017,48,3078,2000,11/02/2020(0/2000)
CBL-SAST-1267-85,12,1399,-,-
EWCSC,6,0,-,-
HDS-I2T0-SSDSC2KB480G8,24,1496,700,11/16/2020(0/700)
MC0037,6,0,-,-
MCP-230-41806-0N,6,141,-,-
MEM-DR416L-HL02-ER32,96,3918,1533,10/31/2020(967/2500)
PSE-ROM7302-0043,12,535,-,-
