,Demanded Qty,Net OH Qty,BO,BO ETA
AOC-S3108L-H8IR-16DD,2,75,-,-
AOC-STGS-I2T-O,2,57,-,-
AS -4124GS-TNR,2,1,-,-
CBL-PWEX-1062,16,158,-,-
CBL-SAST-0531,4,11582,1000,-
EWCSC,2,0,-,-
HDS-M2T-MTFDDAK240TDS1AW,4,1048,300,-
HDS-MUN-MTFDHAL12T8TDR1A,6,16,-,-
MC0037,2,0,-,-
MCP-220-00167-0B,6,2562,6500,11/09/2020(0/500); 12/18/2020(0/3000); 12/18/2020(0/3000)
MEM-DR464L-CL02-ER32,32,2848,3000,-
PSE-ROM7552-0076,4,0,136,11/13/2020(0/16); None
