,Demanded Qty,Net OH Qty,BO,BO ETA
AOC-S3108L-H8IR,1,19,-,-
BTR-CV3108-U1,1,33,-,-
EWCSC,1,0,-,-
FAN-0166L4,4,2904,1600,12/17/2020(0/600)
HDS-S2T1-MZ7LH1T9HMLT05,16,1703,-,-
MC0037,1,0,-,-
MEM-DR464L-CL01-ER29,24,5268,5600,11/27/2020(0/600); None
OSNBD3,1,0,-,-
P4X-CLX6248R-SRGZG,2,533,1828,12/31/2020(0/28); 12/31/2020(0/200); 12/31/2020(0/200); 12/31/2020(0/200)
SFT-DCMS-SINGLE,1,0,-,-
SYS-2029U-E1CR4,1,0,-,-
