,Demanded Qty,Net OH Qty,BO,BO ETA
AOC-E10GSFPSR,2,4627,2000,11/22/2020(0/1000); 12/17/2020(0/1000)
EWCSC,1,0,-,-
HDS-MMN-MTFDHBA480TDF1AW,1,4,-,-
MC0037,1,0,-,-
MCP-290-30002-0B,1,1064,600,11/26/2020(0/600)
MEM-DR432L-HL03-ER26,2,1621,-,-
SYS-E300-8D,1,53,-,-
