,Demanded Qty,Net OH Qty,BO,BO ETA
AOC-S3108L-H8IR,2,42,-,-
BTR-CV3108-U1,2,49,-,-
CBL-PWEX-1017,6,3365,2000,11/02/2020(0/2000)
EWCSC,2,0,-,-
FAN-0166L4,8,3066,-,-
GPU-NVQRTX4000,6,154,-,-
HDS-S2T1-MZ7LH1T9HMLT05,32,1994,-,-
MC0037,2,0,-,-
MEM-DR464L-CL01-ER29,48,6405,-,-
OSNBD3,2,0,-,-
P4X-CLX6240R-SRGZ8,4,1798,1787,12/31/2020(150/300); None; None; 12/31/2020(0/400); 12/31/2020(0/400)
RSC-W2-66,2,3418,-,-
SFT-DCMS-SINGLE,2,0,-,-
SYS-2029U-E1CRTP,2,2,-,-
