,Demanded Qty,Net OH Qty,BO,BO ETA
EWCSC,1,0,-,-
HDS-I2T0-SSDSC2KB240G8,2,3696,500,11/16/2020(500/1000)
MC0037,1,0,-,-
MEM-DR480L-HL01-EU26,2,2219,-,-
SFT-OOB-LIC,1,0,-,-
SYS-5019A-FTN4,1,104,-,-
